##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	2103_36_E_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2051135
Total Bases	309.7 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.604439005721225	37.0	37.0	37.0	37.0	37.0
2	35.67518325219939	37.0	37.0	37.0	37.0	37.0
3	35.70239111516307	37.0	37.0	37.0	37.0	37.0
4	35.699816443091265	37.0	37.0	37.0	37.0	37.0
5	35.70728450345784	37.0	37.0	37.0	37.0	37.0
6	35.70865691434255	37.0	37.0	37.0	37.0	37.0
7	35.688145343919345	37.0	37.0	37.0	37.0	37.0
8	35.67031619079193	37.0	37.0	37.0	37.0	37.0
9	35.65618401519159	37.0	37.0	37.0	37.0	37.0
10-14	35.68235625641414	37.0	37.0	37.0	37.0	37.0
15-19	35.645379168119106	37.0	37.0	37.0	37.0	37.0
20-24	35.627468791669	37.0	37.0	37.0	37.0	37.0
25-29	35.57599114636531	37.0	37.0	37.0	37.0	37.0
30-34	35.51775997191798	37.0	37.0	37.0	37.0	37.0
35-39	35.481566157273896	37.0	37.0	37.0	37.0	37.0
40-44	35.44181811533614	37.0	37.0	37.0	37.0	37.0
45-49	35.41351866161905	37.0	37.0	37.0	37.0	37.0
50-54	35.3365898392841	37.0	37.0	37.0	37.0	37.0
55-59	35.30204584291137	37.0	37.0	37.0	37.0	37.0
60-64	35.26531895755277	37.0	37.0	37.0	37.0	37.0
65-69	35.23694569104423	37.0	37.0	37.0	32.2	37.0
70-74	35.17025793036539	37.0	37.0	37.0	25.0	37.0
75-79	35.108942512316354	37.0	37.0	37.0	25.0	37.0
80-84	35.04482903368135	37.0	37.0	37.0	25.0	37.0
85-89	34.98764401173009	37.0	37.0	37.0	25.0	37.0
90-94	34.98231564475279	37.0	37.0	37.0	25.0	37.0
95-99	34.9189474120426	37.0	37.0	37.0	25.0	37.0
100-104	34.848548340309144	37.0	37.0	37.0	25.0	37.0
105-109	34.75305184690428	37.0	37.0	37.0	25.0	37.0
110-114	34.72222413444264	37.0	37.0	37.0	25.0	37.0
115-119	34.650746147864474	37.0	37.0	37.0	25.0	37.0
120-124	34.577667681551915	37.0	37.0	37.0	25.0	37.0
125-129	34.50398194170545	37.0	37.0	37.0	25.0	37.0
130-134	34.457124957645405	37.0	37.0	37.0	25.0	37.0
135-139	34.33984062482479	37.0	37.0	37.0	25.0	37.0
140-144	34.226607317412075	37.0	37.0	37.0	25.0	37.0
145-149	34.116067640598985	37.0	37.0	37.0	25.0	37.0
150-151	33.803055381532666	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.09747518751252926
1101	2	-0.029326900474742956
1101	3	0.14910285016156166
1101	4	0.07575641651327913
1101	5	0.21363033748225746
1101	6	0.06046632719422007
1101	7	0.17017588456559452
1101	8	0.22327308113403177
1101	9	0.1436560028629117
1101	10-14	0.03184851403835154
1101	15-19	0.25782054561157963
1101	20-24	0.08164243134691418
1101	25-29	0.0900311602289392
1101	30-34	0.11018436386031993
1101	35-39	0.06664701314500121
1101	40-44	0.1570808704143829
1101	45-49	0.026777868864783727
1101	50-54	0.1845913070283558
1101	55-59	0.1666159574291015
1101	60-64	0.11487424394069023
1101	65-69	0.09658849912562317
1101	70-74	0.07722060758423055
1101	75-79	0.1364043935569228
1101	80-84	0.14046446654588607
1101	85-89	0.17954677848725709
1101	90-94	0.22744556082487577
1101	95-99	0.14436611949324885
1101	100-104	0.2651840329716322
1101	105-109	0.17496189229868975
1101	110-114	0.37206572758586987
1101	115-119	0.33662154372691333
1101	120-124	0.2500750362995774
1101	125-129	0.3628663668527281
1101	130-134	0.2653187124858576
1101	135-139	0.5288969327894932
1101	140-144	0.3076467758444039
1101	145-149	0.5396011824346019
1101	150-151	0.6553047377620445
1102	1	0.3065692216865159
1102	2	-0.1197072757159745
1102	3	-0.18371631803690036
1102	4	-0.15120241513240273
1102	5	0.12382639254452954
1102	6	0.08330924019564634
1102	7	0.043523947622254866
1102	8	0.10796983066303056
1102	9	0.1965099631568279
1102	10-14	0.04869036356597434
1102	15-19	0.01288442279869173
1102	20-24	0.09263357059322175
1102	25-29	0.06570007149763768
1102	30-34	0.20351725407957133
1102	35-39	0.060896003532484144
1102	40-44	0.04076067312166032
1102	45-49	-0.008157933072389767
1102	50-54	0.08248338277335421
1102	55-59	0.014728520630157504
1102	60-64	0.01341036308642174
1102	65-69	0.05207478627271911
1102	70-74	0.1340635114177786
1102	75-79	0.16587934920731584
1102	80-84	0.11594451953622098
1102	85-89	0.17709093327771086
1102	90-94	0.14238782611575118
1102	95-99	0.17162038599428797
1102	100-104	0.24120476154286763
1102	105-109	0.07705170999543753
1102	110-114	0.33543730624855783
1102	115-119	0.26326568797431094
1102	120-124	0.31157086720724436
1102	125-129	0.3854012391671091
1102	130-134	0.2679883984402025
1102	135-139	0.37152893876695003
1102	140-144	0.41011362250706895
1102	145-149	0.4322710059071184
1102	150-151	0.45709407827077086
1103	1	0.0529568627624144
1103	2	0.15167673664843306
1103	3	0.17850633471627475
1103	4	-8.672343228965929E-4
1103	5	0.24714091056754484
1103	6	0.1299542238835727
1103	7	0.3947807277061415
1103	8	0.22327875704410616
1103	9	0.08161717055653384
1103	10-14	0.02644913430180651
1103	15-19	0.07174991004587383
1103	20-24	-0.052398271739420466
1103	25-29	0.07723221004527403
1103	30-34	-0.02729321629487913
1103	35-39	0.03306923728442257
1103	40-44	0.15413121346639258
