"chrom","start","end","pos"
"NW_022145594.1",756744,777081,766912.5
"NW_022145594.1",822158,869077,845617.5
"NW_022145594.1",1291714,1313876,1302795
"NW_022145594.1",1324843,1333935,1329389
"NW_022145594.1",1333956,1345005,1339480.5
"NW_022145594.1",1577459,1587895,1582677
"NW_022145594.1",1722726,1726540,1724633
"NW_022145594.1",1726541,1732285,1729413
"NW_022145594.1",1765942,1771640,1768791
"NW_022145594.1",2245333,2306360,2275846.5
"NW_022145594.1",2837742,2876495,2857118.5
"NW_022145594.1",3446099,3449946,3448022.5
"NW_022145594.1",4192893,4208437,4200665
"NW_022145594.1",4369999,4372877,4371438
"NW_022145594.1",4451986,4458601,4455293.5
"NW_022145594.1",4495321,4504237,4499779
"NW_022145594.1",4562822,4570415,4566618.5
"NW_022145594.1",4570426,4581008,4575717
"NW_022145594.1",4694937,4697582,4696259.5
"NW_022145594.1",4716737,4719532,4718134.5
"NW_022145594.1",4722369,4725654,4724011.5
"NW_022145594.1",4744236,4747236,4745736
"NW_022145594.1",4769162,4771910,4770536
"NW_022145594.1",4794523,4798856,4796689.5
"NW_022145594.1",4862514,4866076,4864295
"NW_022145594.1",4948581,4954641,4951611
"NW_022145594.1",4959825,4965235,4962530
"NW_022145594.1",6029203,6054615,6041909
"NW_022145594.1",6807926,6814344,6811135
"NW_022145594.1",7514335,7561944,7538139.5
"NW_022145594.1",8728096,8731215,8729655.5
"NW_022145594.1",8857459,8859845,8858652
"NW_022145594.1",8879177,8882412,8880794.5
"NW_022145594.1",8882415,8886487,8884451
"NW_022145594.1",9105459,9110119,9107789
"NW_022145594.1",9190738,9199692,9195215
"NW_022145594.1",9199697,9202242,9200969.5
"NW_022145594.1",9202243,9205343,9203793
"NW_022145594.1",9205346,9210933,9208139.5
"NW_022145594.1",9210946,9215554,9213250
"NW_022145594.1",9234735,9239270,9237002.5
"NW_022145594.1",9239273,9241597,9240435
"NW_022145594.1",9476860,9484325,9480592.5
"NW_022145594.1",9648914,9655946,9652430
"NW_022145594.1",9655951,9659577,9657764
"NW_022145594.1",9711370,9714515,9712942.5
"NW_022145594.1",9881693,9884975,9883334
"NW_022145594.1",9909765,9912043,9910904
"NW_022145594.1",9975708,9978280,9976994
"NW_022145594.1",9989374,10018729,10004051.5
"NW_022145594.1",10174561,10193885,10184223
"NW_022145594.1",10408291,10414463,10411377
"NW_022145594.1",10870784,10895727,10883255.5
"NW_022145594.1",11257415,11261696,11259555.5
"NW_022145594.1",11335688,11340040,11337864
"NW_022145594.1",12070926,12073210,12072068
"NW_022145594.1",12090340,12095912,12093126
"NW_022145594.1",12202914,12206064,12204489
"NW_022145594.1",12332621,12338089,12335355
"NW_022145594.1",12348879,12352692,12350785.5
"NW_022145594.1",12443259,12450863,12447061
"NW_022145594.1",13782143,13825033,13803588
"NW_022145594.1",15055002,15201542,15128272
"NW_022145594.1",15201543,15310576,15256059.5
"NW_022145594.1",17004560,17013220,17008890
"NW_022145594.1",17026849,17034089,17030469
"NW_022145594.1",17133258,17137136,17135197
"NW_022145594.1",17145193,17148407,17146800
"NW_022145594.1",17164710,17173718,17169214
"NW_022145594.1",17388759,17394334,17391546.5
"NW_022145594.1",17394335,17398654,17396494.5
"NW_022145594.1",17398658,17401799,17400228.5
"NW_022145594.1",17401800,17403675,17402737.5
"NW_022145594.1",17409694,17414173,17411933.5
"NW_022145594.1",17414175,17417911,17416043
"NW_022145594.1",17417912,17419976,17418944
"NW_022145594.1",17424647,17427292,17425969.5
"NW_022145594.1",17427295,17430707,17429001
"NW_022145594.1",17430708,17432741,17431724.5
"NW_022145594.1",17599771,17605514,17602642.5
"NW_022145594.1",17681271,17684950,17683110.5
"NW_022145594.1",17912534,17915873,17914203.5
"NW_022145594.1",17980625,17983944,17982284.5
"NW_022145594.1",18957491,18959605,18958548
"NW_022145594.1",19034146,19038021,19036083.5
"NW_022145594.1",19068686,19070990,19069838
"NW_022145594.1",19111875,19117796,19114835.5
"NW_022145594.1",19181133,19185254,19183193.5
"NW_022145594.1",19194982,19200370,19197676
"NW_022145594.1",19200371,19203447,19201909
"NW_022145594.1",19240952,19245189,19243070.5
"NW_022145594.1",19778238,19821789,19800013.5
"NW_022145594.1",21012432,21055484,21033958
"NW_022145594.1",21107674,21114785,21111229.5
"NW_022145594.1",21118829,21132991,21125910
"NW_022145594.1",21144725,21148247,21146486
"NW_022145594.1",22880522,22915111,22897816.5
"NW_022145594.1",24007955,24015518,24011736.5
"NW_022145594.1",24342194,24353172,24347683
"NW_022145594.1",26959051,26965638,26962344.5
"NW_022145594.1",26984030,26987295,26985662.5
"NW_022145594.1",27035367,27037523,27036445
"NW_022145594.1",27127126,27132645,27129885.5
"NW_022145594.1",27183303,27199550,27191426.5
"NW_022145594.1",27343355,27347965,27345660
"NW_022145594.1",27387192,27393375,27390283.5
"NW_022145594.1",27420114,27427961,27424037.5
"NW_022145594.1",27438690,27442300,27440495
"NW_022145594.1",27458830,27461886,27460358
"NW_022145594.1",27470285,27473531,27471908
"NW_022145594.1",27531112,27536516,27533814
"NW_022145594.1",27640394,27642699,27641546.5
"NW_022145594.1",27760187,27763881,27762034
"NW_022145594.1",27763882,27769122,27766502
"NW_022145594.1",28474545,28481361,28477953
"NW_022145594.1",28588970,28592926,28590948
"NW_022145594.1",28596912,28601387,28599149.5
"NW_022145594.1",28759283,28762106,28760694.5
"NW_022145594.1",28931794,28934510,28933152
"NW_022145594.1",28987745,28990495,28989120
"NW_022145594.1",28994684,28997217,28995950.5
"NW_022145594.1",29193222,29196665,29194943.5
"NW_022145594.1",29239128,29242125,29240626.5
"NW_022145594.1",29282730,29325543,29304136.5
"NW_022145594.1",29554683,29656898,29605790.5
"NW_022145594.1",29700732,29707801,29704266.5
"NW_022145594.1",29936887,29942783,29939835
"NW_022145594.1",30058615,30091807,30075211
"NW_022145594.1",30513640,30542320,30527980
"NW_022145594.1",30899533,30939351,30919442
"NW_022145594.1",31084099,31144013,31114056
"NW_022145594.1",31573547,31577911,31575729
"NW_022145594.1",31702162,31704681,31703421.5
"NW_022145594.1",31813368,31816638,31815003
"NW_022145594.1",32204332,32209506,32206919
"NW_022145594.1",32561858,32564607,32563232.5
"NW_022145594.1",32586784,32596462,32591623
"NW_022145594.1",32846196,32863608,32854902
"NW_022145594.1",32885975,32896740,32891357.5
"NW_022145594.1",32980945,32985008,32982976.5
"NW_022145594.1",33191398,33201897,33196647.5
"NW_022145594.1",33491228,33494246,33492737
"NW_022145594.1",33527385,33530205,33528795
"NW_022145594.1",33616112,33626919,33621515.5
"NW_022145594.1",33702856,33708026,33705441
"NW_022145594.1",33766280,33772399,33769339.5
"NW_022145594.1",33779054,33781868,33780461
"NW_022145594.1",34239964,34330700,34285332
"NW_022145594.1",34330702,34339866,34335284
"NW_022145594.1",34647542,34681094,34664318
"NW_022145594.1",34790935,34828806,34809870.5
"NW_022145594.1",36833874,36869465,36851669.5
"NW_022145594.1",38301557,38425541,38363549
"NW_022145594.1",38505192,38541784,38523488
"NW_022145594.1",39225461,39229365,39227413
"NW_022145594.1",39259049,39264315,39261682
"NW_022145594.1",39298941,39301976,39300458.5
"NW_022145594.1",41857972,41862398,41860185
"NW_022145594.1",42734081,42748581,42741331
"NW_022145594.1",42783193,42786487,42784840
"NW_022145594.1",43902594,43911389,43906991.5
"NW_022145594.1",44343466,44348605,44346035.5
"NW_022145594.1",44411734,44414827,44413280.5
"NW_022145594.1",44430706,44434955,44432830.5
"NW_022145594.1",44592390,44596424,44594407
"NW_022145594.1",44613491,44623432,44618461.5
"NW_022145594.1",44632603,44644392,44638497.5
"NW_022145594.1",44651373,44675480,44663426.5
"NW_022145594.1",45088091,45132535,45110313
"NW_022145594.1",45258536,45308789,45283662.5
"NW_022145594.1",45308791,45314841,45311816
"NW_022145594.1",45318690,45326542,45322616
"NW_022145594.1",45422855,45427429,45425142
"NW_022145594.1",45527604,45532420,45530012
"NW_022145594.1",46414562,46444912,46429737
