"chrom","start","end","pos"
"NW_022145594.1",141961,153618,147789.5
"NW_022145594.1",375007,384756,379881.5
"NW_022145594.1",1169216,1185018,1177117
"NW_022145594.1",1944494,1957026,1950760
"NW_022145594.1",2050485,2055872,2053178.5
"NW_022145594.1",3455414,3458810,3457112
"NW_022145594.1",4170633,4175058,4172845.5
"NW_022145594.1",4365581,4369996,4367788.5
"NW_022145594.1",4441649,4446630,4444139.5
"NW_022145594.1",4637256,4643839,4640547.5
"NW_022145594.1",4994694,5017833,5006263.5
"NW_022145594.1",5174858,5181419,5178138.5
"NW_022145594.1",5270266,5285238,5277752
"NW_022145594.1",5557487,5559945,5558716
"NW_022145594.1",5643978,5648130,5646054
"NW_022145594.1",6509204,6524499,6516851.5
"NW_022145594.1",6668816,6675259,6672037.5
"NW_022145594.1",7094894,7109465,7102179.5
"NW_022145594.1",7113398,7120567,7116982.5
"NW_022145594.1",7835773,7851846,7843809.5
"NW_022145594.1",8470029,8473466,8471747.5
"NW_022145594.1",8473468,8478249,8475858.5
"NW_022145594.1",8478250,8486738,8482494
"NW_022145594.1",8486761,8489811,8488286
"NW_022145594.1",8527054,8532320,8529687
"NW_022145594.1",8570523,8574269,8572396
"NW_022145594.1",8704009,8706895,8705452
"NW_022145594.1",8777554,8780472,8779013
"NW_022145594.1",8822099,8825120,8823609.5
"NW_022145594.1",8852082,8854750,8853416
"NW_022145594.1",8919933,8924126,8922029.5
"NW_022145594.1",8951699,8954676,8953187.5
"NW_022145594.1",9038436,9041337,9039886.5
"NW_022145594.1",9188095,9190737,9189416
"NW_022145594.1",9253659,9260396,9257027.5
"NW_022145594.1",9260401,9268828,9264614.5
"NW_022145594.1",9340948,9350111,9345529.5
"NW_022145594.1",9812872,9816029,9814450.5
"NW_022145594.1",10162358,10167832,10165095
"NW_022145594.1",11227583,11231063,11229323
"NW_022145594.1",11287499,11290398,11288948.5
"NW_022145594.1",11310324,11314661,11312492.5
"NW_022145594.1",11518178,11521936,11520057
"NW_022145594.1",11534139,11537915,11536027
"NW_022145594.1",11557357,11560401,11558879
"NW_022145594.1",11563138,11567041,11565089.5
"NW_022145594.1",11685716,11689278,11687497
"NW_022145594.1",11689279,11694035,11691657
"NW_022145594.1",11701275,11709420,11705347.5
"NW_022145594.1",11860360,11870370,11865365
"NW_022145594.1",12041826,12046876,12044351
"NW_022145594.1",12075768,12078264,12077016
"NW_022145594.1",12175918,12180837,12178377.5
"NW_022145594.1",12373643,12377138,12375390.5
"NW_022145594.1",12700676,12704934,12702805
"NW_022145594.1",12704941,12711838,12708389.5
"NW_022145594.1",12737341,12752696,12745018.5
"NW_022145594.1",12752700,12766779,12759739.5
"NW_022145594.1",12766787,12770714,12768750.5
"NW_022145594.1",12770717,12774623,12772670
"NW_022145594.1",12774625,12777991,12776308
"NW_022145594.1",12777993,12785834,12781913.5
"NW_022145594.1",12785836,12789308,12787572
"NW_022145594.1",12789309,12793235,12791272
"NW_022145594.1",12793236,12800048,12796642
"NW_022145594.1",12800051,12909683,12854867
"NW_022145594.1",12909684,12922021,12915852.5
"NW_022145594.1",12922023,12927784,12924903.5
"NW_022145594.1",12927785,13003643,12965714
"NW_022145594.1",13003654,13053619,13028636.5
"NW_022145594.1",13053626,13088303,13070964.5
"NW_022145594.1",13088305,13173791,13131048
"NW_022145594.1",13173793,13347295,13260544
"NW_022145594.1",13535486,13741191,13638338.5
"NW_022145594.1",14268642,14270876,14269759
"NW_022145594.1",15330367,15347691,15339029
"NW_022145594.1",15347693,15365476,15356584.5
"NW_022145594.1",15372146,15445143,15408644.5
"NW_022145594.1",15445144,15618345,15531744.5
"NW_022145594.1",15618346,15682522,15650434
"NW_022145594.1",15682525,15797975,15740250
"NW_022145594.1",15798247,15896784,15847515.5
"NW_022145594.1",15896785,15909691,15903238
"NW_022145594.1",15909692,15992714,15951203
"NW_022145594.1",15992717,16009042,16000879.5
"NW_022145594.1",16009160,16012570,16010865
"NW_022145594.1",16016790,16020906,16018848
"NW_022145594.1",16026818,16062756,16044787
"NW_022145594.1",16062758,16070740,16066749
"NW_022145594.1",16070750,16140125,16105437.5
"NW_022145594.1",16140127,16171002,16155564.5
"NW_022145594.1",16184330,16250033,16217181.5
"NW_022145594.1",16267689,16298925,16283307
"NW_022145594.1",16298936,16460310,16379623
"NW_022145594.1",17124682,17126732,17125707
"NW_022145594.1",17139043,17142145,17140594
"NW_022145594.1",17287219,17291020,17289119.5
"NW_022145594.1",17291024,17295076,17293050
"NW_022145594.1",17550194,17554015,17552104.5
"NW_022145594.1",17802525,17804967,17803746
"NW_022145594.1",17949053,17952878,17950965.5
"NW_022145594.1",18019084,18022425,18020754.5
"NW_022145594.1",18098452,18109816,18104134
"NW_022145594.1",18130411,18142847,18136629
"NW_022145594.1",18959607,18962065,18960836
"NW_022145594.1",18967036,18969405,18968220.5
"NW_022145594.1",19125645,19131398,19128521.5
"NW_022145594.1",19131399,19134836,19133117.5
"NW_022145594.1",19162609,19166124,19164366.5
"NW_022145594.1",19245191,19249592,19247391.5
"NW_022145594.1",19496871,19656695,19576783
"NW_022145594.1",20389923,20431032,20410477.5
"NW_022145594.1",20679325,20701708,20690516.5
"NW_022145594.1",21217192,21235323,21226257.5
"NW_022145594.1",21447792,21583425,21515608.5
"NW_022145594.1",22114390,22119423,22116906.5
"NW_022145594.1",22206484,22212622,22209553
"NW_022145594.1",23031543,23084292,23057917.5
"NW_022145594.1",23183970,23233742,23208856
"NW_022145594.1",23363564,23398560,23381062
"NW_022145594.1",23473941,23495548,23484744.5
"NW_022145594.1",26661279,26667037,26664158
"NW_022145594.1",26667045,26676426,26671735.5
"NW_022145594.1",27106778,27110542,27108660
"NW_022145594.1",27270337,27277908,27274122.5
"NW_022145594.1",27277917,27284430,27281173.5
"NW_022145594.1",27284433,27292509,27288471
"NW_022145594.1",27757379,27760185,27758782
"NW_022145594.1",28421365,28431425,28426395
"NW_022145594.1",28453494,28459108,28456301
"NW_022145594.1",28555684,28559158,28557421
"NW_022145594.1",28601388,28607012,28604200
"NW_022145594.1",28734436,28737813,28736124.5
"NW_022145594.1",28786173,28789348,28787760.5
"NW_022145594.1",29151718,29155327,29153522.5
"NW_022145594.1",29190053,29193218,29191635.5
"NW_022145594.1",29207066,29210008,29208537
"NW_022145594.1",29266451,29272426,29269438.5
"NW_022145594.1",29707801,29716454,29712127.5
"NW_022145594.1",29739481,29743509,29741495
"NW_022145594.1",29750797,29753231,29752014
"NW_022145594.1",29790541,29794364,29792452.5
"NW_022145594.1",29794369,29797932,29796150.5
"NW_022145594.1",29849589,29855181,29852385
"NW_022145594.1",31543591,31547640,31545615.5
"NW_022145594.1",32522314,32525837,32524075.5
"NW_022145594.1",32636302,32639453,32637877.5
"NW_022145594.1",32987976,32990633,32989304.5
"NW_022145594.1",32990636,32992978,32991807
"NW_022145594.1",33518208,33524274,33521241
"NW_022145594.1",33685877,33691264,33688570.5
"NW_022145594.1",33691265,33694954,33693109.5
"NW_022145594.1",33694955,33699092,33697023.5
"NW_022145594.1",33699094,33702853,33700973.5
"NW_022145594.1",33750543,33754195,33752369
"NW_022145594.1",33831421,33834458,33832939.5
"NW_022145594.1",33844004,33857509,33850756.5
