"chrom","start","end","pos"
"NW_022145594.1",3740052,3763168,3751610
"NW_022145594.1",4943633,4994660,4969146.5
"NW_022145594.1",5648131,5715609,5681870
"NW_022145594.1",8780477,8798451,8789464
"NW_022145594.1",9098981,9139057,9119019
"NW_022145594.1",9190738,9215554,9203146
"NW_022145594.1",9636769,9655946,9646357.5
"NW_022145594.1",11479173,11509582,11494377.5
"NW_022145594.1",11944528,11968529,11956528.5
"NW_022145594.1",12078271,12112244,12095257.5
"NW_022145594.1",12226152,12242904,12234528
"NW_022145594.1",12327233,12352692,12339962.5
"NW_022145594.1",14823554,14998065,14910809.5
"NW_022145594.1",16716778,16948580,16832679
"NW_022145594.1",17164710,17186702,17175706
"NW_022145594.1",17383814,17403675,17393744.5
"NW_022145594.1",17403677,17421539,17412608
"NW_022145594.1",17421541,17436934,17429237.5
"NW_022145594.1",17436935,17470592,17453763.5
"NW_022145594.1",17605520,17647022,17626271
"NW_022145594.1",17987165,18009892,17998528.5
"NW_022145594.1",18356134,18908770,18632452
"NW_022145594.1",22518041,22590509,22554275
"NW_022145594.1",27376891,27405711,27391301
"NW_022145594.1",28931794,28952241,28942017.5
"NW_022145594.1",29242127,29278072,29260099.5
"NW_022145594.1",30626329,30740166,30683247.5
"NW_022145594.1",30939352,31248599,31093975.5
"NW_022145594.1",31644023,31664360,31654191.5
"NW_022145594.1",38505192,38677569,38591380.5
"NW_022145594.1",43031745,43314172,43172958.5
"NW_022145594.1",44418242,44438673,44428457.5
"NW_022145594.1",44596425,44632601,44614513
"NW_022145594.1",45318690,45417628,45368159
"NW_022145594.1",45463029,45485454,45474241.5
"NW_022145594.1",48954822,49201709,49078265.5
"NW_022145594.1",49272628,49356231,49314429.5
"NW_022145594.1",49586850,49612039,49599444.5
"NW_022145594.1",49694707,49828583,49761645
"NW_022145594.1",49946702,50038497,49992599.5
